Address,Host Organization,Notes,Title,Event Type,Event Group,More Info Url,All Dates,Next Date times,Next Date,longitude,latitude,location
1600 32 Avenue NE,City of Calgary,"Spend time with other ladies in a fun, relaxed atmosphere. Play a different course each week. Green fees include: 9 holes, giveaways, taste sampling with Toolshed Brewery and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>.  McCall Par 3  <em>Beginner/Intermediate</em> <p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Ladies Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jun 26 2019 5:30 - 7:30 p.m.,June 26 2019 5:30 - 7:30 p.m.,2019/06/26,-114.01504500025,51.0830809998059,"(51.0830809998059, -114.01504500025)"
800 Macleod Trail SE,The City of Calgary - Environment and Safety Mgt,Celebrating its 30th year the MEE is the largest environmental education event for students in Canada. Taking place in downtown Calgary the MEE hosts over 79 workshops and performances by 19 performers and or organizations. The MEE also has over 80 interactive environmentally theme booths from both community organizations and student lead environmental projects. The Expo is held over 3 days Tuesday to Thursday for students from across Calgary and surrounding areas and is open to the public all three days. The Mayor's Environment Expo is the largest environmental education exposition in Canada. The Expo also hosts the annual Jack Leslie Award and the annual youth environmental photo contest. Both of these events take place the Thursday before the annual Mayor's Environment Expo.,The Mayor's Environment Expo,,Event,http://www.calgary.ca/mee,Jun 4 2019 8:30 a.m. - 3 p.m.<br>Jun 5 2019 8:30 a.m. - 3 p.m.<br>Jun 6 2019 8:30 a.m. - 3 p.m.,June 4 2019 8:30 a.m. - 3 p.m.,2019/06/04,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
5050 Spruce Drive SW,Running Room,5/10 KM Pathway Foot Race.,Run for Women,Athletic / sport,Event,http://www.runforwomen.ca/,Jun 9 2019 9 a.m. - 12 p.m.,June 9 2019 9 a.m. - 12 p.m.,2019/06/09,-114.157704999742,51.0638760000266,"(51.0638760000266, -114.157704999742)"
222 8 Avenue SE,Musesnorth Art  Music Productions,A family friendly music and creative movement event.,Revolution Love Live,,Event,http://www.revolutionlovelive.com,Jun 8 2019 1 - 4:30 p.m.,June 8 2019 1 - 4:30 p.m.,2019/06/08,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
7305 Crowchild Trail SW,ALS Society of Alberta,An annual event that raises awareness and funds for people living with and affected by ALS. All funds raised go to the ALS Society of Alberta which is dedicated to making each day the best possible day for people living with and affected by this disease,Betty's Run for ALS,Athletic / sport,Event,http://www.alsab.ca,Jun 9 2019 8:30 a.m. - 1 p.m.,June 9 2019 8:30 a.m. - 1 p.m.,2019/06/09,-114.122718999786,50.9885010001202,"(50.9885010001202, -114.122718999786)"
27 Prince's Island Path SW,MS Society,"The MS Walk is a one day fundraising walk for MS Multiple Sclerosis. Our participants walk 2 or 5km along the Bow River Pathways and fund raise for the MS Society, with the goal of curing MS. Participants collect pledges and attend the walk to enjoy a fun filled day of support and entertainment, all to support the MS Society.",Jayman BUILT MS Walk,Athletic / sport,Event,http://www.mswalks.ca,Jun 9 2019 8:30 a.m. - 1:30 p.m.,June 9 2019 8:30 a.m. - 1:30 p.m.,2019/06/09,-114.070248999623,51.0556370002533,"(51.0556370002533, -114.070248999623)"
800 Macleod Trail SE,City of Calgary,"<p>Join us for our 32nd Annual Exhibition of Children’s Art from North Mount Pleasant and Wildflower Arts Centres. Celebrate the sculpture, painting, drawing and mixed media artworks created by young artists, aged 3-17. Everyone welcome! Opening Reception on Thursday May 2nd at 5:30 p.m. with artists in attendance. <strong>All Ages</strong></p>",Children’s Art Exhibition,"Admission specials,Informational / educational,Recreation and leisure",Event,https://www.trumba.com/calendars/map-feeds?eventid=131035918,May 2 2019 6 a.m. - 6 p.m.,May 2 2019 6 a.m. - 6 p.m.,2019/05/02,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
800 Macleod Trail SE,,,Strategic Council Meeting,City Council,City Business,https://www.trumba.com/calendars/map-feeds?eventid=129964026,Apr 1 2019 9:30 a.m. - 12:30 p.m.<br>May 13 2019 9:30 a.m. - 12:30 p.m.<br>Jun 10 2019 9 a.m. - 12 p.m.<br>Jul 16 2019 9:30 a.m. - 12:30 p.m.,April 1 2019 9:30 a.m. - 12:30 p.m.,2019/04/01,-114.056561000432,51.0456359997832,"(51.0456359997832, -114.056561000432)"
2000 Southland Drive SW,,Happens every Monday and Wednesday from 9 p.m. - 10 p.m. at Southland Leisure Centre.,Last call - $3 admission,Admission specials,Event,https://www.trumba.com/calendars/map-feeds?eventid=127219617,Mar 18 2019 9 - 10 p.m.<br>Mar 20 2019 9 - 10 p.m.<br>Mar 25 2019 9 - 10 p.m.<br>Mar 27 2019 9 - 10 p.m.<br>Apr 1 2019 9 - 10 p.m.<br>Apr 3 2019 9 - 10 p.m.<br>Apr 8 2019 9 - 10 p.m.<br>Apr 10 2019 9 - 10 p.m.<br>Apr 15 2019 9 - 10 p.m.<br>Apr 17 2019 9 - 10 p.m.<br>Apr 22 2019 9 - 10 p.m.<br>Apr 24 2019 9 - 10 p.m.<br>Apr 29 2019 9 - 10 p.m.<br>May 1 2019 9 - 10 p.m.<br>May 6 2019 9 - 10 p.m.<br>May 8 2019 9 - 10 p.m.<br>May 13 2019 9 - 10 p.m.<br>May 15 2019 9 - 10 p.m.<br>May 20 2019 9 - 10 p.m.<br>May 22 2019 9 - 10 p.m.<br>May 27 2019 9 - 10 p.m.<br>May 29 2019 9 - 10 p.m.<br>Jun 3 2019 9 - 10 p.m.<br>Jun 5 2019 9 - 10 p.m.<br>Jun 10 2019 9 - 10 p.m.<br>Jun 12 2019 9 - 10 p.m.<br>Jun 17 2019 9 - 10 p.m.<br>Jun 19 2019 9 - 10 p.m.<br>Jun 24 2019 9 - 10 p.m.<br>Jun 26 2019 9 - 10 p.m.<br>Jul 1 2019 9 - 10 p.m.<br>Jul 3 2019 9 - 10 p.m.<br>Jul 8 2019 9 - 10 p.m.<br>Jul 10 2019 9 - 10 p.m.<br>Jul 15 2019 9 - 10 p.m.<br>Jul 17 2019 9 - 10 p.m.<br>Jul 22 2019 9 - 10 p.m.<br>Jul 24 2019 9 - 10 p.m.<br>Jul 29 2019 9 - 10 p.m.<br>Jul 31 2019 9 - 10 p.m.<br>Aug 5 2019 9 - 10 p.m.<br>Aug 7 2019 9 - 10 p.m.<br>Aug 12 2019 9 - 10 p.m.<br>Aug 14 2019 9 - 10 p.m.<br>Aug 19 2019 9 - 10 p.m.<br>Aug 21 2019 9 - 10 p.m.<br>Aug 26 2019 9 - 10 p.m.<br>Aug 28 2019 9 - 10 p.m.,March 18 2019 9 - 10 p.m.,2019/03/18,-114.108651999579,50.962339999962,"(50.962339999962, -114.108651999579)"
5840 19 Street SW,City of Calgary,"<b>Ages: 6Y and up + adult</b>  Spend time with your family and have fun golfing together.  Free golf for juniors 6Y – 17Y with a paying adult  (one adult per foursome required).  Green fees include: 9 holes, giveaways, game and etiquette tips and golf pro on selected evenings (only from 5:00pm – 7:00pm) with free golf tips.  <strong>Four day advanced tee times recommended </strong>at <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"" target=""_blank"">calgary.ca/golf </a>or call 403-221-3510.",Family Golf Nights – Juniors are FREE!,"Admission specials,Athletic / sport,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Lakeview.aspx,Jul 13 2019 5 - 8:30 p.m.<br>Aug 10 2019 5 - 8:30 p.m.,July 13 2019 5 - 8:30 p.m.,2019/07/13,-114.105669999773,51.0017140000255,"(51.0017140000255, -114.105669999773)"
222 8 Avenue SE,Calgary Multicultural Arts Society,"Fiestaval is a free and family-oriented, multicultural arts and entertainment festival highlighting the Latin American Culture. It will take place in the heart of downtown Calgary at the Calgary Olympic Plaza on July 19,20  21. It is an opportunity to support Calgary's Latin community while encouraging multiculturalism among all Calgarians.",Fiestaval Latin Festival,Festivals / major events,Event,http://WWW.FIESTAVAL.CA,Jul 19 2019 11 a.m. - 8 p.m.<br>Jul 20 2019 11 a.m. - 8 p.m.<br>Jul 21 2019 11 a.m. - 8 p.m.,July 19 2019 11 a.m. - 8 p.m.,2019/07/19,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
1515 Home Road NW,Barbeque on the Bow Society,,Barbeque on the Bow,Community event,Event,http://www.bbqonthebow.com,Aug 31 2019 8:30 a.m. - 6:30 p.m.,August 31 2019 8:30 a.m. - 6:30 p.m.,2019/08/31,-114.165381100251,51.0710908999498,"(51.0710908999498, -114.165381100251)"
1200 26 Street SW,City of Calgary,"Spend time with other ladies in a fun, relaxed atmosphere. Play a different course each week. Green fees include: 9 holes, giveaways, taste sampling with Toolshed Brewery and a Golf Pro who will offer free golf tips on selected evenings (only from 5:00pm – 7:00pm). <strong>Ages: 18 Years and up</strong>..  Shaganappi  Valley 9  <em>Beginner/Intermediate</em> <p>Four day advanced tee times recommended. Visit <a href=""http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx"">calgary.ca/golf</a> or call 403-221-3510</p>",Ladies Golf Nights,"Athletic / sport,Informational / educational,Recreation and leisure",Event,http://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Home.aspx,Jul 10 2019 5:30 - 7:30 p.m.,July 10 2019 5:30 - 7:30 p.m.,2019/07/10,-114.123952000395,51.0446350002536,"(51.0446350002536, -114.123952000395)"
222 8 Avenue SE,Honouring Mother Earth/AAWOC Committee,"Opening Ceremonies is an annual event hosted by the City of Calgary and Aboriginal and non-Aboriginal committee members from the community.  The event is the kick-off to Aboriginal Awareness Week in Calgary.  The Mayor officially declares Aboriginal Awareness Week in a noon hour event at Olympic Plaza.  The event includes the official proclamation by the Mayor or representative, presentations, and entertainment.  A video montage is being developed and will be featured at the event with photos from last years, interviews from previous years attendees and interviews on leadership. Lunch will be served to attendees free of charge.",Aboriginal Awareness Week Calgary Opening Ceremonies AAWOC,Community event,Event,http://www.honouringmotherearth.com,Jun 17 2019 10:30 a.m. - 2:30 p.m.,June 17 2019 10:30 a.m. - 2:30 p.m.,2019/06/17,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
5300 19 Street SW,Stampede Road Race Society,"5km, 10km, Half Marathon and Kids Races. 11 Years now in Calgary's running scene.",Stampede Road Race,Athletic / sport,Event,http://www.stampederoadrace.ca,Jul 7 2019 6:30 - 11 a.m.,July 7 2019 6:30 - 11 a.m.,2019/07/07,-114.10445399978,51.0072079997881,"(51.0072079997881, -114.10445399978)"
222 8 Avenue SE,Portail de l'Immigrant Association,"Franco Festival Calgary FFC, a Francophone Multicultural Event. FFC is a celebration of many diverse Francophone cultures Africa, North- America, South-America, Asia and Europe through dance, music, food, arts  crafts showcasing arts and cultures of the diverse French-speaking communities of Calgary and its surrounding communities. This is a family event with activities for all ages and all nations! Dance to live music and dance performances by local and national artists, as well as this year's event includes a multi-arts pavilion run by local craftsmen and artists, children's area, workshops, a bistro beer garden and food vendors.",Franco Festival Calgary 2019,Festivals / major events,Event,http://www.francofestcalgary.com,Aug 17 2019 11 a.m. - 9 p.m.,August 17 2019 11 a.m. - 9 p.m.,2019/08/17,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
,Calgary Military Family Resource,"Annual MFRC fundraiser held on the Calgary Peace Bridge. This is a ticketed event and traditionally sees up to 250 guest attend and has approx 75 volunteers.  It includes live entertainment, speeches, and a plated  breakfast served at sunrise.",Breakfast on the Bridge,Community event,Event,https://www.trumba.com/calendars/map-feeds?eventid=131287312,Jun 22 2019 5 - 7:30 a.m.,June 22 2019 5 - 7:30 a.m.,2019/06/22,-114.078917999932,51.0539179999905,"(51.0539179999905, -114.078917999932)"
222 8 Avenue SE,Philippine Festival Council of Alberta,"The Philippine Festival Council of Alberta continues to celebrate the Filipino culture, heritage and tradition by bringing the fifth Annual Fiesta Filipino. Showcasing diverse talents among the Filipino-Canadian community, Fiesta Filipino 2019 promises to deliver a more exciting and entertaining cultural festival representing the Filipino community of Calgary and the entire province of Alberta.",2019 Fiesta Filipino,Festivals / major events,Event,https://www.fiestafilipinoyyc.com/,Aug 30 2019 12 - 5:30 p.m.<br>Aug 31 2019 12 - 5:30 p.m.,August 30 2019 12 - 5:30 p.m.,2019/08/30,-114.059478999766,51.0457489997706,"(51.0457489997706, -114.059478999766)"
1220 9 Avenue SW,Calgary Recreation,"To create a fun, free and safe event for children, youth, adults and families to participate in and to sit and enjoy some amazing skateboarding.  Go Skateboarding Day, an international event which bring communities together to celebrate the sport of skateboarding.",Go Skateboarding Day,Athletic / sport,Event,https://www.trumba.com/calendars/map-feeds?eventid=131286288,Jun 21 2019 3 - 7 p.m.,June 21 2019 3 - 7 p.m.,2019/06/21,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
1900 Heritage Drive SW,FAB Events Inc.,"1st Annual Father's Day Run  Walk in support of the Calgary Health Trust NICU  Alberta Children's Hospital NICU. This 5k Walk, 5  10k Run  Little Kids Dash will take place at Heritage Park on Sunday, June 16, 2019.",Father's Day Run Walk,Athletic / sport,Event,https://www.trumba.com/calendars/map-feeds?eventid=131265617,Jun 16 2019 8:30 - 11 a.m.,June 16 2019 8:30 - 11 a.m.,2019/06/16,-114.101148999933,50.9824640001733,"(50.9824640001733, -114.101148999933)"
1220 9 Avenue SW,Calgary Blues Music Association,"A week long celebration of the best in Blues culminates in 4 days  nights of non-stop music on mainstage at Shaw Millennium Park.  Family friendly, arts market, beer tent, YYC trucks, festival souvenirs.",Calgary International Blues Festival,Festivals / major events,Event,http://www.calgarybluesfest.com,Aug 1 2019 10 a.m. - 9:30 p.m.<br>Aug 2 2019 10 a.m. - 9:30 p.m.<br>Aug 3 2019 10 a.m. - 9:30 p.m.<br>Aug 4 2019 10 a.m. - 9:30 p.m.,August 1 2019 10 a.m. - 9:30 p.m.,2019/08/01,-114.090678999651,51.0461490001499,"(51.0461490001499, -114.090678999651)"
