,city,year,month,day,hour,title,city_sector,address,intersection,postal_code
0,Ottawa,2017,6,4,NA,Gutsy Walk,West Ottawa,"102 Greenview Drive, Britannia Park","102 Greenview Drive, Britannia Park",K2B 8J8
1,Ottawa,2017,5,10,NA,Ottawa Children's Festival 2017,Downtown/Central,1 Vimy Place,1 Vimy Place,K1A 0M8
2,Ottawa,2017,4,19,NA,The Fun House,Downtown/Central,400 Dalhousie Street,400 Dalhousie Street,K1N 9J9
3,Ottawa,2017,5,3,NA,"j’adart, for the love or art!",West Ottawa,1233 Wellington St. West.,1233 Wellington St. West.,K1Y 0G7
4,Ottawa,2017,6,4,NA,Mud Hero,Rural East,4565 Dunning Road,4565 Dunning Road,K4B 1J1
5,Ottawa,2017,6,30,NA,SOCA BOAT 150,Hull Sector,895 Jacques Cartier,895 Jacques Cartier,J8T 2W3
6,Ottawa,2017,4,6,NA,Verse,Downtown/Central,310 St. Patrick Street,310 St. Patrick Street,K1N 5K5
7,Ottawa,2017,5,10,NA,"Drop by Drop: A night of innovation, sustainability and film",South Ottawa,1074 Bank Street,1074 Bank Street,K1S 3X3
8,Ottawa,2017,4,29,NA,Dance - benefit for Canadian Guide Dogs,South Ottawa,6346 Deermeadow Drive,6346 Deermeadow Drive,K4P 1M9
9,Ottawa,2018,5,5,NA,Hintonburg Fabric Flea Market ,Downtown/Central,1064 Wellington Street West,1064 Wellington Street West,K1Y 2Y3
10,Ottawa,2017,4,28,NA,TD Nature Nocturne: The Life Aquatic,Downtown/Central,240 McLeod Street,240 McLeod Street,K2P 2R1
11,Ottawa,2017,4,20,NA,TACTICS,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7
12,Ottawa,2017,4,30,NA,'Canada 150' Spring Concert 2017,Downtown/Central,2345 Alta Vista Drive,2345 Alta Vista Drive,K1H 7M6
13,Ottawa,2017,6,17,NA,Red Bull Global Rallycross Ottawa,East Ottawa,11 Aviation Parkway,11 Aviation Parkway,K1K 4R3
14,Ottawa,2017,4,29,NA,4th ODD Dance Class Marathon FUNdraiser,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7
15,Ottawa,2017,5,11,NA,Series Dance 10 #27 - Chartier Danse and Jacqueline Ethier,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7
16,Ottawa,2017,4,30,NA,Oceans of Harmony,West Ottawa,6 Epworth Avenue,6 Epworth Avenue,K2G 2L5
17,Ottawa,2017,5,14,NA,Sing! Chantez! Shiru! Canadian Jewish Music: a 150th Celebration,West Ottawa,1400 Coldrey Avenue,1400 Coldrey Avenue,K1Z 7P9
18,Ottawa,2017,4,13,NA,Shape and Place - Solo Exhibition of Rachael Wong,Downtown/Central,13 Murray St.,13 Murray St.,K1N 9M5
19,Ottawa,2017,4,12,NA,The GCTC Prologue,West Ottawa,1233 Wellington St. West.,1233 Wellington St. West.,K1Y 0G7
20,Ottawa,2017,4,26,NA,The Spirit of Budo: The History of Japanese Martial Arts,Downtown/Central,255 Sussex Drive,255 Sussex Drive,K1N 9E6
21,Ottawa,2017,4,12,NA,¡Fiesta Latina! - Latin American Film Festival Launch Party,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7
22,Ottawa,2017,4,30,NA,Azucar! Open House!,Downtown/Central,111A Rideau Street,111A Rideau Street,K1N 5X1
23,Ottawa,2017,4,26,NA,Weird (Chile) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
24,Ottawa,2017,4,27,NA,The Check (Panama) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
25,Ottawa,2017,4,28,NA,The Longest Distance (Venezuela) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
26,Ottawa,2017,4,29,NA,Four Cardinal Points (El Salvador) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
27,Ottawa,2017,4,29,NA,Boquerón (Bolivia) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
28,Ottawa,2017,4,15,NA,Carp Farmers' Market,Rural West,3790 Carp Road,3790 Carp Road,K0A 1L0
29,Ottawa,2017,5,3,NA,Guilty Men (Colombia) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
30,Ottawa,2017,5,4,NA,Sugar Fields (Dominican Republic) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
31,Ottawa,2017,5,6,NA,La Chiperita (Paraguay) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
32,Ottawa,2017,5,5,NA,Dark Glasses (Cuba) Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
33,Ottawa,2017,5,18,NA,Veterans Showcase In the Tradition of Service,Downtown/Central,211 Bronson Avenue,211 Bronson Avenue,K1R6H4
34,Ottawa,2017,5,10,NA,Mono Con Gallinas (Open Wound) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
35,Ottawa,2017,5,6,NA,The Distinguished Citizen (Argentina) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
36,Ottawa,2017,5,11,NA,Entonces Nosotros (About Us) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
37,Ottawa,2017,4,12,NA,Mini Book Sale,Downtown/Central,395 Wellington Street,395 Wellington Street,K1A0N4
38,Ottawa,2017,4,11,NA,The Sound of the Muse theatrical concert series,West Ottawa,6400 Hazeldean Road,6400 Hazeldean Road,K2S 1S4
39,Ottawa,2017,5,12,NA,Zanahoria (Operation Carrot) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
40,Ottawa,2017,4,29,NA,Time Frame (Brazil) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
41,Ottawa,2017,5,13,NA,Ayiti Mon Amour - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
42,Ottawa,2017,5,12,NA,The Vanished Elephant (Peru) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
43,Ottawa,2017,5,13,NA,Panamerican Machinery (Mexico) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6
44,Ottawa,2017,5,16,NA,Treasure Island,West Ottawa,1 Ron Maslin Way,1 Ron Maslin Way,K2V 1A7
45,Ottawa,2017,5,2,NA,Mélange,Downtown/Central,310 St. Patrick Street,310 St. Patrick Street,K1N 5K5
46,Ottawa,2017,5,2,NA,Provender,Downtown/Central,1285 Wellington Street West,1285 Wellington Street West,K1Y 1B4
47,Ottawa,2017,5,9,NA,Youth Infringement Theatre Festival 2017,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7
48,Ottawa,2017,4,12,NA,Kelly Grace: Between Light and Shadow,West Ottawa,358 Richmond Road,358 Richmond Road,K2A 0E8
49,Ottawa,2017,5,4,NA,Vernissage: José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),Downtown/Central,110 Laurier Avenue West,110 Laurier Avenue West,K1P 1J1
50,Ottawa,2017,5,28,NA,Tour with the artist (in French): José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),Downtown/Central,110 Laurier Avenue West,110 Laurier Avenue West,K1P 1J1
51,Ottawa,2017,5,4,NA,José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),Downtown/Central,110 Laurier Avenue West,110 Laurier Avenue West,K1P 1J1
52,Ottawa,2017,4,21,NA,TIMEKODE: with Special Guest DJ Ruby Jane ,Downtown/Central,164 Laurier Avenue West,164 Laurier Avenue West,K1P 5J4
53,Ottawa,2017,4,28,NA,Dungeon 004,Downtown/Central,222 Slater Street,222 Slater Street,K1P 5H8
54,Ottawa,2017,6,3,NA,Doors Open Ottawa 2017,Region Wide,-,-,K1A 0A4
55,Ottawa,2017,6,2,NA,Westfest 2017,Downtown/Central,52 Stonehurst Avenue,52 Stonehurst Avenue,K1Y 1R4
56,Ottawa,2017,9,13,NA,Itzhak Perlman’s Cinema Serenade,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
57,Ottawa,2017,9,16,NA,NAC Gala,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
58,Ottawa,2017,9,20,NA,Beethoven’s Ninth,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
59,Ottawa,2017,10,3,NA,Sibelius’s First Symphony,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
60,Ottawa,2017,10,5,NA,Lintu and Hewitt,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
61,Ottawa,2017,10,6,NA,Finland’s Rajaton In Concert,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
62,Ottawa,2017,10,8,NA,Twin Flames: Tracks in the Snow ,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
63,Ottawa,2017,10,11,NA,Finnish Legends,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
64,Ottawa,2017,10,12,NA,Lapland Chamber Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
65,Ottawa,2017,10,13,NA,Glenn Gould’s String Quartet,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
66,Ottawa,2017,10,14,NA,Shelley and Storgårds,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
67,Ottawa,2017,11,12,NA,Classy Brass!,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
68,Ottawa,2017,11,12,NA,China’s National Centre for the Performing Arts Orchestra,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
69,Ottawa,2017,11,16,NA,An American in Paris - Live!,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
70,Ottawa,2017,11,23,NA,Zukerman and Mozart,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
71,Ottawa,2017,11,26,NA,Music for a Sunday Afternoon,Downtown/Central,380 Sussex Drive,380 Sussex Drive,K1N 9N4
72,Ottawa,2017,12,14,NA,Disney in Concert: A Dream is a Wish,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
73,Ottawa,2017,12,20,NA,Joshua Bell’s Christmas,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1
