city,year,month,day,hour,title,city_sector,address,intersection,postal_code,latitude,longitude
Ottawa,2017,6,4,,Gutsy Walk,West Ottawa,"102 Greenview Drive, Britannia Park","102 Greenview Drive, Britannia Park",K2B 8J8,,
Ottawa,2017,5,10,,Ottawa Children's Festival 2017,Downtown/Central,1 Vimy Place,1 Vimy Place,K1A 0M8,,
Ottawa,2017,4,19,,The Fun House,Downtown/Central,400 Dalhousie Street,400 Dalhousie Street,K1N 9J9,,
Ottawa,2017,5,3,,"j’adart, for the love or art!",West Ottawa,1233 Wellington St. West.,1233 Wellington St. West.,K1Y 0G7,,
Ottawa,2017,6,4,,Mud Hero,Rural East,4565 Dunning Road,4565 Dunning Road,K4B 1J1,,
Ottawa,2017,6,30,,SOCA BOAT 150,Hull Sector,895 Jacques Cartier,895 Jacques Cartier,J8T 2W3,,
Ottawa,2017,4,6,,Verse,Downtown/Central,310 St. Patrick Street,310 St. Patrick Street,K1N 5K5,,
Ottawa,2017,5,10,,"Drop by Drop: A night of innovation, sustainability and film",South Ottawa,1074 Bank Street,1074 Bank Street,K1S 3X3,,
Ottawa,2017,4,29,,Dance - benefit for Canadian Guide Dogs,South Ottawa,6346 Deermeadow Drive,6346 Deermeadow Drive,K4P 1M9,,
Ottawa,2018,5,5,,Hintonburg Fabric Flea Market ,Downtown/Central,1064 Wellington Street West,1064 Wellington Street West,K1Y 2Y3,,
Ottawa,2017,4,28,,TD Nature Nocturne: The Life Aquatic,Downtown/Central,240 McLeod Street,240 McLeod Street,K2P 2R1,,
Ottawa,2017,4,20,,TACTICS,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7,,
Ottawa,2017,4,30,,'Canada 150' Spring Concert 2017,Downtown/Central,2345 Alta Vista Drive,2345 Alta Vista Drive,K1H 7M6,,
Ottawa,2017,6,17,,Red Bull Global Rallycross Ottawa,East Ottawa,11 Aviation Parkway,11 Aviation Parkway,K1K 4R3,,
Ottawa,2017,4,29,,4th ODD Dance Class Marathon FUNdraiser,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7,,
Ottawa,2017,5,11,,Series Dance 10 #27 - Chartier Danse and Jacqueline Ethier,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7,,
Ottawa,2017,4,30,,Oceans of Harmony,West Ottawa,6 Epworth Avenue,6 Epworth Avenue,K2G 2L5,,
Ottawa,2017,5,14,,Sing! Chantez! Shiru! Canadian Jewish Music: a 150th Celebration,West Ottawa,1400 Coldrey Avenue,1400 Coldrey Avenue,K1Z 7P9,,
Ottawa,2017,4,13,,Shape and Place - Solo Exhibition of Rachael Wong,Downtown/Central,13 Murray St.,13 Murray St.,K1N 9M5,,
Ottawa,2017,4,12,,The GCTC Prologue,West Ottawa,1233 Wellington St. West.,1233 Wellington St. West.,K1Y 0G7,,
Ottawa,2017,4,26,,The Spirit of Budo: The History of Japanese Martial Arts,Downtown/Central,255 Sussex Drive,255 Sussex Drive,K1N 9E6,,
Ottawa,2017,4,12,,¡Fiesta Latina! - Latin American Film Festival Launch Party,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7,,
Ottawa,2017,4,30,,Azucar! Open House!,Downtown/Central,111A Rideau Street,111A Rideau Street,K1N 5X1,,
Ottawa,2017,4,26,,Weird (Chile) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,4,27,,The Check (Panama) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,4,28,,The Longest Distance (Venezuela) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,4,29,,Four Cardinal Points (El Salvador) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,4,29,,Boquerón (Bolivia) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,4,15,,Carp Farmers' Market,Rural West,3790 Carp Road,3790 Carp Road,K0A 1L0,,
Ottawa,2017,5,3,,Guilty Men (Colombia) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,4,,Sugar Fields (Dominican Republic) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,6,,La Chiperita (Paraguay) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,5,,Dark Glasses (Cuba) Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,18,,Veterans Showcase In the Tradition of Service,Downtown/Central,211 Bronson Avenue,211 Bronson Avenue,K1R6H4,,
Ottawa,2017,5,10,,Mono Con Gallinas (Open Wound) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,6,,The Distinguished Citizen (Argentina) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,11,,Entonces Nosotros (About Us) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,4,12,,Mini Book Sale,Downtown/Central,395 Wellington Street,395 Wellington Street,K1A0N4,,
Ottawa,2017,4,11,,The Sound of the Muse theatrical concert series,West Ottawa,6400 Hazeldean Road,6400 Hazeldean Road,K2S 1S4,,
Ottawa,2017,5,12,,Zanahoria (Operation Carrot) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,4,29,,Time Frame (Brazil) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,13,,Ayiti Mon Amour - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,12,,The Vanished Elephant (Peru) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,13,,Panamerican Machinery (Mexico) - Latin American Film Festival,Downtown/Central,9376 University Drive,9376 University Drive,K1S 5B6,,
Ottawa,2017,5,16,,Treasure Island,West Ottawa,1 Ron Maslin Way,1 Ron Maslin Way,K2V 1A7,,
Ottawa,2017,5,2,,Mélange,Downtown/Central,310 St. Patrick Street,310 St. Patrick Street,K1N 5K5,,
Ottawa,2017,5,2,,Provender,Downtown/Central,1285 Wellington Street West,1285 Wellington Street West,K1Y 1B4,,
Ottawa,2017,5,9,,Youth Infringement Theatre Festival 2017,Downtown/Central,2 Daly Avenue,2 Daly Avenue,K1N 9M7,,
Ottawa,2017,4,12,,Kelly Grace: Between Light and Shadow,West Ottawa,358 Richmond Road,358 Richmond Road,K2A 0E8,,
Ottawa,2017,5,4,,Vernissage: José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),Downtown/Central,110 Laurier Avenue West,110 Laurier Avenue West,K1P 1J1,,
Ottawa,2017,5,28,,Tour with the artist (in French): José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),Downtown/Central,110 Laurier Avenue West,110 Laurier Avenue West,K1P 1J1,,
Ottawa,2017,5,4,,José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),Downtown/Central,110 Laurier Avenue West,110 Laurier Avenue West,K1P 1J1,,
Ottawa,2017,4,21,,TIMEKODE: with Special Guest DJ Ruby Jane ,Downtown/Central,164 Laurier Avenue West,164 Laurier Avenue West,K1P 5J4,,
Ottawa,2017,4,28,,Dungeon 004,Downtown/Central,222 Slater Street,222 Slater Street,K1P 5H8,,
Ottawa,2017,6,3,,Doors Open Ottawa 2017,Region Wide,-,-,K1A 0A4,,
Ottawa,2017,6,2,,Westfest 2017,Downtown/Central,52 Stonehurst Avenue,52 Stonehurst Avenue,K1Y 1R4,,
Ottawa,2017,9,13,,Itzhak Perlman’s Cinema Serenade,Downtown/Central,53 Elgin Street,53 Elgin Street,K1P 5W1,,
