,city,year,month,day,hour,title,city_sector,address,intersection,latitude,longitude
0,Toronto,2019,5,15,0,Beautiful Man,NA,"125 Bathurst St, Toronto, ON M5V 2R2, Canada",NA,43.6455699,-79.40273730000001
1,Toronto,2019,7,6,14,Drop-in DIY Repair,NA,"15 Tobermory Dr, North York, ON M3N 2R5, Canada",NA,43.760158,-79.5078661
2,Toronto,2019,6,17,17,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3,Toronto,2019,3,13,13,March Break at the Hockey Hall of Fame,NA,"181 Bay St, Toronto, ON M5J 2T3, Canada",NA,43.6473683,-79.37737200000004
4,Toronto,2019,2,28,23,Learn Your Car-Buying Rights,NA,"200 Park Lawn Rd, Etobicoke, ON M8Y 3J1, Canada",NA,43.6302944,-79.4911942
5,Toronto,2019,3,10,15,Taste of Chinatown Food &amp; Culture Tour,NA,"421 Dundas St W, Toronto, ON M5T 2W4, Canada",NA,43.6531242,-79.39521150000002
6,Toronto,2019,3,13,17,Tradeshow Noir,NA,"655 Dixon Rd, Etobicoke, ON M9W 1J3, Canada",NA,43.6894228,-79.57807860000003
7,Toronto,2019,3,11,13,Elemental Time: Bruce Parsons,NA,"56 Neilson Dr, Etobicoke, ON M9C 1V8, Canada",NA,43.6295213,-79.5679235
8,Toronto,2019,2,27,15,Migration Trail,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
9,Toronto,2019,7,30,14,The Moon: A Voyage Through Time,NA,"77 Wynford Dr, Toronto, ON M3C 1K1, Canada",NA,43.72524540000001,-79.33210480000002
10,Toronto,2019,1,27,16,The Best of Scarborough Food Tour,NA,"2455 Eglinton Ave E, Scarborough, ON M1K, Canada",NA,43.7325254,-79.26370120000001
11,Toronto,2018,10,17,15,Crosscurrents: Canada in the Making,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
12,Toronto,2019,3,16,14,Best in Show,NA,"111 Queens Park, Toronto, ON M5S 2C7, Canada",NA,43.6681235,-79.39316559999997
